"year","country","value"
1990,"FRA",1
1990,"GBR",6
1990,"GRC",1
1990,"IND",3
1990,"JOR",1
1990,"KOR",1
1990,"NLD",1
1990,"PRI",2
1990,"SAU",2
1990,"TUR",1
1990,"USA",205
1991,"AUS",2
1991,"BGR",1
1991,"BRN",1
1991,"CAN",16
1991,"CZE",1
1991,"DEU",1
1991,"FRA",2
1991,"GBR",3
1991,"GRC",1
1991,"IND",1
1991,"IRQ",1
1991,"KWT",1
1991,"MEX",3
1991,"NGA",1
1991,"PRI",1
1991,"RUS",2
1991,"SAU",1
1991,"SWE",1
1991,"TKM",1
1991,"USA",192
1992,"AUS",5
1992,"CAN",14
1992,"DEU",1
1992,"DNK",1
1992,"DOM",1
1992,"GBR",8
1992,"GTM",2
1992,"IDN",1
1992,"IND",2
1992,"IRL",1
1992,"IRN",1
1992,"ITA",1
1992,"LTU",1
1992,"MEX",1
1992,"NOR",2
1992,"NZL",1
1992,"SWZ",1
1992,"TON",1
1992,"USA",200
1992,"ZAF",1
1993,"AUS",4
1993,"BGR",1
1993,"BIH",1
1993,"CAN",16
1993,"ESP",1
1993,"EST",1
1993,"FIN",1
1993,"GBR",16
1993,"HUN",1
1993,"IND",2
1993,"IRL",1
1993,"IRN",1
1993,"IRQ",1
1993,"LKA",1
1993,"LVA",1
1993,"MEX",3
1993,"NLD",1
1993,"NZL",2
1993,"PAK",1
1993,"PHL",1
1993,"PRI",1
1993,"RUS",2
1993,"SWE",1
1993,"USA",248
1993,"ZAF",1
1994,"AUS",3
1994,"BRA",2
1994,"CAN",21
1994,"CUB",1
1994,"DEU",3
1994,"FIN",1
1994,"FRA",3
1994,"GBR",12
1994,"IND",4
1994,"ISR",1
1994,"MEX",3
1994,"NLD",2
1994,"NZL",1
1994,"RUS",1
1994,"SWE",2
1994,"UKR",1
1994,"USA",352
1994,"ZWE",1
1995,"AUS",5
1995,"BEL",1
1995,"BHS",1
1995,"BIH",1
1995,"BRA",2
1995,"CAN",25
1995,"COL",1
1995,"DEU",1
1995,"DNK",1
1995,"ECU",1
1995,"ESP",1
1995,"EST",1
1995,"GBR",19
1995,"GRC",1
1995,"HTI",1
1995,"IRL",1
1995,"ITA",1
1995,"JAM",1
1995,"JPN",2
1995,"KAZ",1
1995,"MEX",2
1995,"MYS",1
1995,"NLD",2
1995,"NOR",1
1995,"PHL",1
1995,"POL",1
1995,"PRI",3
1995,"SWE",2
1995,"SYR",1
1995,"TTO",1
1995,"URY",1
1995,"USA",1185
1995,"VIR",1
1996,"AUS",15
1996,"BEL",1
1996,"BGD",1
1996,"BRA",1
1996,"CAN",47
1996,"CHE",1
1996,"CHL",1
1996,"DEU",3
1996,"ECU",2
1996,"ESP",1
1996,"FRA",1
1996,"GBR",32
1996,"ISR",1
1996,"JPN",2
1996,"MEX",8
1996,"MWI",1
1996,"NLD",3
1996,"PAK",1
1996,"PHL",2
1996,"PRT",1
1996,"USA",740
1996,"ZAF",1
1997,"AUS",10
1997,"BEL",2
1997,"BIH",1
1997,"BOL",1
1997,"BRA",2
1997,"CAN",62
1997,"CHE",1
1997,"CHL",2
1997,"CRI",1
1997,"DEU",2
1997,"FIN",1
1997,"FRA",2
1997,"GBR",44
1997,"GRC",2
1997,"IND",1
1997,"ISL",1
1997,"ISR",1
1997,"JPN",1
1997,"KEN",1
1997,"LBN",1
1997,"LBY",1
1997,"MEX",3
1997,"NOR",1
1997,"NZL",2
1997,"PER",1
1997,"POL",2
1997,"PRT",1
1997,"QAT",1
1997,"SVN",2
1997,"SWE",2
1997,"THA",1
1997,"TUR",1
1997,"TUV",1
1997,"USA",1088
1997,"VEN",1
1997,"VIR",1
1997,"ZAF",1
1998,"ATG",1
1998,"AUS",21
1998,"BEL",2
1998,"BHS",2
1998,"BMU",1
1998,"CAN",81
1998,"CHL",1
1998,"CHN",2
1998,"DEU",2
1998,"DOM",2
1998,"EGY",2
1998,"ESP",2
1998,"FRA",2
1998,"GBR",48
1998,"GRC",2
1998,"IDN",1
1998,"IND",3
1998,"IRL",5
1998,"ISL",1
1998,"ISR",1
1998,"ITA",2
1998,"MAR",1
1998,"MEX",8
1998,"MNG",1
1998,"NGA",1
1998,"NLD",5
1998,"NZL",6
1998,"PAK",1
1998,"PHL",4
1998,"POL",1
1998,"PRI",6
1998,"PRT",1
1998,"PSE",1
