"year","country","shape","value"
1979,"GBR","cylinder",1
1982,"GBR","cylinder",1
1990,"GBR","cylinder",1
1997,"GBR","cylinder",1
2000,"GBR","cylinder",2
2001,"GBR","cylinder",1
2002,"GBR","cylinder",1
2003,"GBR","cylinder",2
2004,"GBR","cylinder",5
2005,"GBR","cylinder",3
2007,"GBR","cylinder",4
2008,"GBR","cylinder",3
2009,"GBR","cylinder",4
2010,"GBR","cylinder",2
2011,"GBR","cylinder",1
2014,"GBR","cylinder",2
1986,"GRC","cylinder",1
2013,"IDN","cylinder",3
2003,"IND","cylinder",1
2011,"IND","cylinder",1
2012,"IND","cylinder",1
2013,"IND","cylinder",1
2005,"IRL","cylinder",2
1975,"IRN","cylinder",1
1991,"IRQ","cylinder",1
2004,"ISL","cylinder",1
1999,"ITA","cylinder",1
1991,"MEX","cylinder",1
1998,"MEX","cylinder",1
2001,"MEX","cylinder",1
2002,"MEX","cylinder",1
2008,"MEX","cylinder",1
2011,"MEX","cylinder",1
2007,"NLD","cylinder",1
1980,"NZL","cylinder",1
1998,"NZL","cylinder",1
2009,"NZL","cylinder",1
1999,"PAK","cylinder",1
2004,"PAN","cylinder",1
1966,"PER","cylinder",1
2009,"PRT","cylinder",1
1962,"USA","cylinder",2
1968,"USA","cylinder",2
1970,"USA","cylinder",5
1972,"USA","cylinder",5
1973,"USA","cylinder",4
1974,"USA","cylinder",2
1975,"USA","cylinder",3
1976,"USA","cylinder",4
1977,"USA","cylinder",3
1978,"USA","cylinder",5
1979,"USA","cylinder",3
1980,"USA","cylinder",4
1981,"USA","cylinder",3
1982,"USA","cylinder",3
1983,"USA","cylinder",2
1984,"USA","cylinder",3
1985,"USA","cylinder",4
1986,"USA","cylinder",2
1987,"USA","cylinder",3
1988,"USA","cylinder",5
1989,"USA","cylinder",4
1990,"USA","cylinder",2
1991,"USA","cylinder",2
1992,"USA","cylinder",2
1993,"USA","cylinder",5
1994,"USA","cylinder",3
1995,"USA","cylinder",4
1996,"USA","cylinder",10
1997,"USA","cylinder",15
1998,"USA","cylinder",29
1999,"USA","cylinder",42
2000,"USA","cylinder",42
2001,"USA","cylinder",37
2002,"USA","cylinder",53
2003,"USA","cylinder",59
2004,"USA","cylinder",56
2005,"USA","cylinder",55
2006,"USA","cylinder",51
2007,"USA","cylinder",61
2008,"USA","cylinder",68
2009,"USA","cylinder",54
2010,"USA","cylinder",56
2011,"USA","cylinder",64
2012,"USA","cylinder",94
2013,"USA","cylinder",100
2014,"USA","cylinder",29
2008,"VEN","cylinder",1
2009,"VEN","cylinder",1
2014,"VIR","cylinder",1
1982,"ZAF","cylinder",1
2008,"ALB","diamond",1
2004,"ARE","diamond",1
1975,"AUS","diamond",1
1983,"AUS","diamond",1
2001,"AUS","diamond",2
2004,"AUS","diamond",1
2006,"AUS","diamond",1
2007,"AUS","diamond",1
2008,"AUS","diamond",1
2009,"AUS","diamond",1
2010,"AUS","diamond",1
2011,"AUS","diamond",1
2006,"BHR","diamond",1
2002,"BIH","diamond",1
2013,"BOL","diamond",1
1966,"CAN","diamond",1
1968,"CAN","diamond",1
1986,"CAN","diamond",1
1988,"CAN","diamond",1
1994,"CAN","diamond",1
1995,"CAN","diamond",1
1997,"CAN","diamond",2
1998,"CAN","diamond",2
1999,"CAN","diamond",3
2000,"CAN","diamond",2
2001,"CAN","diamond",5
2002,"CAN","diamond",2
2003,"CAN","diamond",8
2004,"CAN","diamond",5
2005,"CAN","diamond",6
2006,"CAN","diamond",2
2007,"CAN","diamond",2
2008,"CAN","diamond",5
2009,"CAN","diamond",3
2010,"CAN","diamond",2
2011,"CAN","diamond",1
2012,"CAN","diamond",3
2013,"CAN","diamond",4
2014,"CAN","diamond",2
2002,"CHL","diamond",1
2006,"CMR","diamond",1
1971,"COL","diamond",1
2009,"COL","diamond",1
2004,"DEU","diamond",1
2009,"DEU","diamond",1
2010,"DEU","diamond",1
2003,"ESP","diamond",1
2014,"FIN","diamond",1
2002,"FRA","diamond",1
2012,"FRA","diamond",1
1993,"GBR","diamond",1
1996,"GBR","diamond",3
1997,"GBR","diamond",1
2000,"GBR","diamond",6
2001,"GBR","diamond",2
2002,"GBR","diamond",6
2003,"GBR","diamond",4
2004,"GBR","diamond",5
2005,"GBR","diamond",2
2006,"GBR","diamond",5
2007,"GBR","diamond",4
2008,"GBR","diamond",4
2009,"GBR","diamond",4
2010,"GBR","diamond",4
2013,"GBR","diamond",1
2006,"GRC","diamond",1
1992,"IND","diamond",1
2007,"IND","diamond",1
2013,"IND","diamond",1
2014,"IND","diamond",2
1992,"IRL","diamond",1
2000,"IRL","diamond",1
2001,"IRL","diamond",1
2009,"IRL","diamond",1
1968,"IRN","diamond",1
2010,"IRQ","diamond",1
2013,"ISR","diamond",1
2005,"ITA","diamond",1
2001,"LKA","diamond",1
1996,"MEX","diamond",2
1998,"MEX","diamond",1
2010,"MEX","diamond",1
2013,"MEX","diamond",1
2000,"NLD","diamond",1
2003,"NLD","diamond",1
2004,"NLD","diamond",1
2005,"NLD","diamond",1
1998,"POL","diamond",1
2000,"POL","diamond",1
2011,"PRI","diamond",1
1989,"SAU","diamond",1
2006,"SRB","diamond",1
2004,"SWE","diamond",1
2013,"TTO","diamond",1
2003,"TUR","diamond",1
2004,"TUR","diamond",1
2006,"TUR","diamond",1
1999,"UGA","diamond",1
2002,"URY","diamond",1
1962,"USA","diamond",1
1966,"USA","diamond",2
1968,"USA","diamond",1
1970,"USA","diamond",1
1971,"USA","diamond",1
1972,"USA","diamond",2
1973,"USA","diamond",3
1974,"USA","diamond",1
1976,"USA","diamond",3
1977,"USA","diamond",3
1978,"USA","diamond",2
1979,"USA","diamond",1
1980,"USA","diamond",5
1981,"USA","diamond",4
1982,"USA","diamond",2
1983,"USA","diamond",5
1984,"USA","diamond",1
1985,"USA","diamond",4
1986,"USA","diamond",3
1987,"USA","diamond",2
1988,"USA","diamond",2
1989,"USA","diamond",2
1991,"USA","diamond",3
1992,"USA","diamond",1
1993,"USA","diamond",5
1994,"USA","diamond",2
1995,"USA","diamond",5
1996,"USA","diamond",13
1997,"USA","diamond",14
1998,"USA","diamond",22
1999,"USA","diamond",33
2000,"USA","diamond",44
2001,"USA","diamond",59
2002,"USA","diamond",45
2003,"USA","diamond",47
2004,"USA","diamond",52
2005,"USA","diamond",48
2006,"USA","diamond",44
2007,"USA","diamond",49
2008,"USA","diamond",64
2009,"USA","diamond",47
2010,"USA","diamond",50
2011,"USA","diamond",78
2012,"USA","diamond",96
2013,"USA","diamond",89
2014,"USA","diamond",34
1998,"VEN","diamond",1
2002,"ZAF","diamond",1
2009,"ZAF","diamond",1
2003,"ZWE","diamond",1
2008,"AFG","disk",1
2013,"ALB","disk",1
1984,"ARE","disk",1
2003,"ARE","disk",1
2004,"ARE","disk",1
2004,"ARG","disk",1
1970,"AUS","disk",1
1972,"AUS","disk",1
1974,"AUS","disk",2
1975,"AUS","disk",2
1977,"AUS","disk",1
1980,"AUS","disk",1
1981,"AUS","disk",1
1988,"AUS","disk",1
1992,"AUS","disk",1
1993,"AUS","disk",1
1998,"AUS","disk",2
1999,"AUS","disk",4
2000,"AUS","disk",2
2001,"AUS","disk",3
2002,"AUS","disk",4
2003,"AUS","disk",6
2004,"AUS","disk",6
2005,"AUS","disk",10
2006,"AUS","disk",9
2007,"AUS","disk",2
2008,"AUS","disk",3
2012,"AUS","disk",3
2013,"AUS","disk",4
2000,"AUT","disk",1
2002,"AZE","disk",1
1999,"BEL","disk",1
1996,"BGD","disk",1
1985,"BGR","disk",1
1971,"BHS","disk",1
2002,"BHS","disk",2
2003,"BHS","disk",1
1984,"BIH","disk",1
2001,"BIH","disk",1
2002,"BIH","disk",2
2005,"BIH","disk",1
1977,"BLR","disk",1
2012,"BMU","disk",1
2001,"BOL","disk",2
1970,"BRA","disk",1
1983,"BRA","disk",1
1990,"BRA","disk",1
1994,"BRA","disk",1
2000,"BRA","disk",1
2004,"BRA","disk",2
2008,"BRA","disk",2
1962,"CAN","disk",1
1966,"CAN","disk",1
1968,"CAN","disk",1
1970,"CAN","disk",4
1971,"CAN","disk",1
1972,"CAN","disk",4
1973,"CAN","disk",2
1975,"CAN","disk",5
1977,"CAN","disk",1
1978,"CAN","disk",1
1979,"CAN","disk",2
1980,"CAN","disk",1
1981,"CAN","disk",1
1982,"CAN","disk",3
1983,"CAN","disk",1
1984,"CAN","disk",2
1985,"CAN","disk",4
1987,"CAN","disk",3
1990,"CAN","disk",2
1991,"CAN","disk",1
1992,"CAN","disk",1
1993,"CAN","disk",3
1994,"CAN","disk",1
1996,"CAN","disk",3
1997,"CAN","disk",5
1998,"CAN","disk",10
1999,"CAN","disk",8
2000,"CAN","disk",6
2001,"CAN","disk",11
2002,"CAN","disk",14
2003,"CAN","disk",23
2004,"CAN","disk",20
2005,"CAN","disk",19
2006,"CAN","disk",20
2007,"CAN","disk",12
2008,"CAN","disk",8
2009,"CAN","disk",14
2010,"CAN","disk",5
2011,"CAN","disk",11
2012,"CAN","disk",9
2013,"CAN","disk",8
2014,"CAN","disk",6
1997,"CHE","disk",1
1971,"CHL","disk",1
2006,"CHL","disk",1
1999,"CHN","disk",1
2000,"CHN","disk",1
2006,"CHN","disk",1
2010,"CHN","disk",1
1999,"COG","disk",1
1979,"COL","disk",1
1980,"COL","disk",1
1999,"COL","disk",1
2002,"COL","disk",1
2005,"COL","disk",1
2006,"COL","disk",1
2007,"COL","disk",1
1982,"CRI","disk",1
1997,"CRI","disk",1
2003,"CRI","disk",1
1980,"CUB","disk",1
2013,"CUB","disk",1
2011,"CYP","disk",1
2005,"CZE","disk",1
1968,"DEU","disk",1
1974,"DEU","disk",1
2002,"DEU","disk",1
2005,"DEU","disk",1
2006,"DEU","disk",1
2007,"DEU","disk",1
2008,"DEU","disk",1
1995,"DNK","disk",1
2003,"DNK","disk",1
1968,"DOM","disk",1
2004,"DOM","disk",1
2009,"DOM","disk",1
2007,"ECU","disk",1
1986,"EGY","disk",1
1990,"EGY","disk",1
1998,"EGY","disk",1
2004,"EGY","disk",1
2002,"ESP","disk",1
2005,"ESP","disk",2
2009,"ESP","disk",1
2010,"ESP","disk",1
2013,"ESP","disk",1
2003,"FIN","disk",1
1976,"FRA","disk",1
1999,"FRA","disk",1
2001,"FRA","disk",1
2002,"FRA","disk",1
2003,"FRA","disk",3
2004,"FRA","disk",1
2005,"FRA","disk",1
2008,"FRA","disk",1
1962,"GBR","disk",1
1966,"GBR","disk",1
1970,"GBR","disk",2
1971,"GBR","disk",2
1974,"GBR","disk",2
1976,"GBR","disk",2
1977,"GBR","disk",2
1978,"GBR","disk",2
1979,"GBR","disk",1
1980,"GBR","disk",1
1981,"GBR","disk",1
1983,"GBR","disk",2
1986,"GBR","disk",1
1990,"GBR","disk",1
1991,"GBR","disk",1
1993,"GBR","disk",2
1994,"GBR","disk",1
1995,"GBR","disk",2
1996,"GBR","disk",3
1997,"GBR","disk",2
1998,"GBR","disk",2
1999,"GBR","disk",2
2000,"GBR","disk",10
2001,"GBR","disk",9
2002,"GBR","disk",10
2003,"GBR","disk",7
2004,"GBR","disk",8
2005,"GBR","disk",6
2006,"GBR","disk",11
2007,"GBR","disk",12
2008,"GBR","disk",6
2009,"GBR","disk",9
2010,"GBR","disk",3
2011,"GBR","disk",5
2012,"GBR","disk",3
2013,"GBR","disk",3
1997,"GRC","disk",1
2003,"GRC","disk",1
2006,"GRC","disk",1
2011,"GRC","disk",1
1971,"GUY","disk",1
2012,"GUY","disk",1
1974,"HND","disk",1
2006,"HND","disk",1
2006,"HRV","disk",2
2007,"HRV","disk",1
2002,"IDN","disk",1
2003,"IDN","disk",1
2013,"IDN","disk",1
1992,"IND","disk",1
1993,"IND","disk",1
2000,"IND","disk",1
2002,"IND","disk",1
2003,"IND","disk",1
2004,"IND","disk",2
2005,"IND","disk",1
2006,"IND","disk",1
2007,"IND","disk",2
2008,"IND","disk",2
2009,"IND","disk",1
2012,"IND","disk",3
2013,"IND","disk",4
1989,"IRL","disk",1
2000,"IRL","disk",1
2001,"IRL","disk",4
2007,"IRL","disk",1
2010,"IRL","disk",1
2012,"IRL","disk",1
1983,"ISL","disk",1
2007,"ISL","disk",1
2009,"ISL","disk",1
1997,"ISR","disk",1
1999,"ISR","disk",1
2002,"ISR","disk",1
2005,"ISR","disk",1
1998,"ITA","disk",1
1999,"ITA","disk",2
2002,"ITA","disk",1
2011,"ITA","disk",1
2012,"JAM","disk",1
1975,"JPN","disk",1
2000,"JPN","disk",1
2003,"JPN","disk",1
2010,"JPN","disk",1
2003,"KHM","disk",1
2003,"KOR","disk",1
2009,"KOR","disk",1
2012,"KOR","disk",2
2014,"KOR","disk",1
2003,"LBN","disk",1
2004,"LBN","disk",1
2002,"LKA","disk",2
2008,"LTU","disk",1
2009,"LTU","disk",1
1968,"MAR","disk",2
1975,"MEX","disk",1
1977,"MEX","disk",1
1980,"MEX","disk",1
1985,"MEX","disk",1
1989,"MEX","disk",1
1993,"MEX","disk",2
1996,"MEX","disk",2
1998,"MEX","disk",1
2001,"MEX","disk",1
2002,"MEX","disk",4
2004,"MEX","disk",3
2005,"MEX","disk",3
2006,"MEX","disk",5
2007,"MEX","disk",1
2010,"MEX","disk",2
2011,"MEX","disk",1
2012,"MEX","disk",1
2012,"MKD","disk",1
2013,"MLT","disk",1
2005,"MNG","disk",1
1999,"MYS","disk",1
2001,"MYS","disk",2
2003,"MYS","disk",2
2004,"MYS","disk",2
2008,"MYS","disk",2
2012,"MYS","disk",1
1998,"NGA","disk",1
1999,"NLD","disk",1
2002,"NLD","disk",3
2003,"NLD","disk",1
2004,"NLD","disk",1
2010,"NLD","disk",2
2011,"NLD","disk",1
1970,"NOR","disk",1
2001,"NOR","disk",2
2004,"NOR","disk",1
2007,"NOR","disk",1
2009,"NOR","disk",1
2011,"NOR","disk",2
2011,"NPL","disk",1
1976,"NZL","disk",1
1982,"NZL","disk",1
1999,"NZL","disk",2
2001,"NZL","disk",1
2002,"NZL","disk",2
2003,"NZL","disk",1
2010,"NZL","disk",1
2012,"NZL","disk",1
2003,"PAK","disk",1
2005,"PAK","disk",1
2007,"PAK","disk",2
2014,"PAK","disk",1
2003,"PAN","disk",1
1975,"PHL","disk",1
2003,"PHL","disk",2
2004,"PHL","disk",2
2006,"PHL","disk",1
2007,"PHL","disk",2
2010,"PHL","disk",1
2012,"PHL","disk",1
2013,"PHL","disk",1
2002,"POL","disk",1
2006,"POL","disk",1
2009,"POL","disk",1
1970,"PRI","disk",1
1980,"PRI","disk",1
1981,"PRI","disk",1
1989,"PRI","disk",3
2003,"PRI","disk",1
2007,"PRI","disk",1
2009,"PRI","disk",2
2011,"PRI","disk",1
1981,"PRT","disk",1
1998,"PRT","disk",1
2002,"PRT","disk",1
2011,"PRT","disk",1
1987,"ROU","disk",1
2005,"ROU","disk",2
2012,"ROU","disk",1
1991,"RUS","disk",1
2009,"RUS","disk",2
2013,"RUS","disk",1
1987,"SAU","disk",1
2011,"SAU","disk",1
2011,"SVN","disk",1
1971,"SWE","disk",2
1984,"SWE","disk",1
2002,"SWE","disk",1
2003,"SWE","disk",1
2004,"SWE","disk",1
2012,"SWE","disk",1
1995,"SYR","disk",1
2012,"TTO","disk",1
1968,"TUR","disk",1
1999,"TUR","disk",1
2005,"TUR","disk",1
2008,"TUR","disk",1
1999,"UKR","disk",1
2008,"UKR","disk",1
2010,"UKR","disk",1
1962,"USA","disk",16
1966,"USA","disk",54
1968,"USA","disk",49
1970,"USA","disk",34
1971,"USA","disk",27
1972,"USA","disk",31
1973,"USA","disk",53
1974,"USA","disk",57
1975,"USA","disk",67
1976,"USA","disk",57
1977,"USA","disk",48
1978,"USA","disk",64
1979,"USA","disk",39
1980,"USA","disk",43
1981,"USA","disk",22
1982,"USA","disk",30
1983,"USA","disk",29
1984,"USA","disk",16
1985,"USA","disk",24
1986,"USA","disk",21
1987,"USA","disk",22
1988,"USA","disk",23
1989,"USA","disk",28
1990,"USA","disk",22
1991,"USA","disk",31
1992,"USA","disk",27
1993,"USA","disk",16
1994,"USA","disk",42
1995,"USA","disk",37
1996,"USA","disk",45
1997,"USA","disk",74
1998,"USA","disk",95
1999,"USA","disk",148
2000,"USA","disk",163
2001,"USA","disk",166
2002,"USA","disk",185
2003,"USA","disk",221
2004,"USA","disk",245
2005,"USA","disk",210
2006,"USA","disk",190
2007,"USA","disk",221
2008,"USA","disk",254
2009,"USA","disk",187
2010,"USA","disk",187
2011,"USA","disk",181
2012,"USA","disk",218
2013,"USA","disk",182
2014,"USA","disk",75
2006,"VEN","disk",1
2009,"VEN","disk",1
2012,"VEN","disk",1
1978,"VIR","disk",1
1966,"VNM","disk",1
1999,"ZAF","disk",1
2000,"ZAF","disk",1
2001,"ZAF","disk",4
2002,"ZAF","disk",1
2003,"ZAF","disk",1
2004,"ZAF","disk",2
2007,"ZAF","disk",1
2009,"ZAF","disk",1
2010,"ZAF","disk",1
2012,"ZAF","disk",5
2013,"ZAF","disk",1
2009,"AFG","egg",1
1996,"AUS","egg",1
1997,"AUS","egg",1
2000,"AUS","egg",1
2003,"AUS","egg",3
2004,"AUS","egg",2
2008,"AUS","egg",2
2010,"AUS","egg",1
2011,"AUS","egg",1
2012,"AUS","egg",1
2013,"AUS","egg",1
2003,"BEL","egg",1
1985,"BRA","egg",1
1995,"BRA","egg",1
1968,"CAN","egg",1
1974,"CAN","egg",1
1978,"CAN","egg",1
1989,"CAN","egg",1
1993,"CAN","egg",1
1995,"CAN","egg",1
1996,"CAN","egg",1
1998,"CAN","egg",1
1999,"CAN","egg",3
2000,"CAN","egg",2
2001,"CAN","egg",1
2002,"CAN","egg",3
2003,"CAN","egg",4
2004,"CAN","egg",3
2005,"CAN","egg",2
2006,"CAN","egg",2
2007,"CAN","egg",2
2008,"CAN","egg",1
2009,"CAN","egg",4
2010,"CAN","egg",1
2011,"CAN","egg",1
2012,"CAN","egg",1
2002,"COL","egg",1
2007,"COL","egg",1
2004,"CYP","egg",1
1980,"DEU","egg",1
2005,"DEU","egg",1
2009,"DNK","egg",1
1998,"DOM","egg",1
2003,"DZA","egg",1
2013,"FRA","egg",1
1970,"GBR","egg",1
1976,"GBR","egg",1
1980,"GBR","egg",2
1987,"GBR","egg",1
1995,"GBR","egg",1
1997,"GBR","egg",1
1998,"GBR","egg",2
1999,"GBR","egg",1
2000,"GBR","egg",1
2001,"GBR","egg",5
2002,"GBR","egg",2
2003,"GBR","egg",6
2004,"GBR","egg",2
2005,"GBR","egg",2
2006,"GBR","egg",4
2007,"GBR","egg",2
2009,"GBR","egg",2
2010,"GBR","egg",2
2012,"GBR","egg",1
2003,"HUN","egg",1
1998,"IND","egg",1
2001,"IND","egg",1
2003,"IND","egg",1
2001,"IRL","egg",1
2009,"IRL","egg",1
2003,"ISL","egg",1
1983,"JAM","egg",1
1999,"JPN","egg",1
2006,"JPN","egg",1
2008,"JPN","egg",2
1977,"MEX","egg",1
2002,"MEX","egg",1
2003,"MEX","egg",2
2005,"MEX","egg",1
2012,"MEX","egg",1
2002,"MYS","egg",1
2008,"NPL","egg",1
1975,"NZL","egg",1
2002,"NZL","egg",1
2003,"NZL","egg",1
2005,"NZL","egg",1
2014,"NZL","egg",1
2008,"PAK","egg",1
2002,"POL","egg",1
1970,"PRI","egg",1
1980,"PRI","egg",1
1998,"PRI","egg",1
2009,"SAU","egg",1
1966,"USA","egg",3
1968,"USA","egg",1
1970,"USA","egg",2
1973,"USA","egg",1
1974,"USA","egg",1
1975,"USA","egg",3
1976,"USA","egg",1
1977,"USA","egg",1
1978,"USA","egg",1
1979,"USA","egg",2
1980,"USA","egg",1
1982,"USA","egg",1
1983,"USA","egg",1
1984,"USA","egg",3
1985,"USA","egg",3
1986,"USA","egg",1
1987,"USA","egg",2
1988,"USA","egg",4
1989,"USA","egg",2
1990,"USA","egg",2
1991,"USA","egg",6
1992,"USA","egg",3
1993,"USA","egg",3
1994,"USA","egg",6
1995,"USA","egg",1
1996,"USA","egg",4
1997,"USA","egg",7
1998,"USA","egg",20
1999,"USA","egg",29
2000,"USA","egg",38
2001,"USA","egg",37
2002,"USA","egg",40
2003,"USA","egg",36
2004,"USA","egg",45
2005,"USA","egg",31
2006,"USA","egg",30
2007,"USA","egg",23
2008,"USA","egg",44
2009,"USA","egg",29
2010,"USA","egg",21
2011,"USA","egg",28
2012,"USA","egg",43
2013,"USA","egg",43
2014,"USA","egg",17
1972,"ZAF","egg",1
2004,"AND","fireball",1
2010,"ARE","fireball",2
2012,"ARE","fireball",2
1975,"AUS","fireball",1
1978,"AUS","fireball",1
1988,"AUS","fireball",1
1995,"AUS","fireball",2
1999,"AUS","fireball",1
2000,"AUS","fireball",3
2001,"AUS","fireball",4
2002,"AUS","fireball",2
2003,"AUS","fireball",4
2004,"AUS","fireball",3
2005,"AUS","fireball",3
2006,"AUS","fireball",2
2007,"AUS","fireball",1
2008,"AUS","fireball",2
2009,"AUS","fireball",1
2010,"AUS","fireball",2
2012,"AUS","fireball",2
2013,"AUS","fireball",5
2009,"BGR","fireball",1
2014,"BGR","fireball",1
1998,"BHS","fireball",1
1995,"BIH","fireball",1
2002,"BIH","fireball",1
2005,"BRA","fireball",1
2002,"BRN","fireball",1
1971,"CAN","fireball",1
1972,"CAN","fireball",1
1973,"CAN","fireball",1
1981,"CAN","fireball",1
1990,"CAN","fireball",1
1992,"CAN","fireball",1
1993,"CAN","fireball",1
1995,"CAN","fireball",2
1996,"CAN","fireball",4
1997,"CAN","fireball",3
1998,"CAN","fireball",8
1999,"CAN","fireball",11
2000,"CAN","fireball",8
2001,"CAN","fireball",13
2002,"CAN","fireball",9
2003,"CAN","fireball",13
2004,"CAN","fireball",19
2005,"CAN","fireball",18
2006,"CAN","fireball",7
2007,"CAN","fireball",8
2008,"CAN","fireball",6
2009,"CAN","fireball",10
2010,"CAN","fireball",18
2011,"CAN","fireball",14
2012,"CAN","fireball",49
2013,"CAN","fireball",40
2014,"CAN","fireball",6
1973,"COL","fireball",1
1999,"COL","fireball",1
2012,"CRI","fireball",1
2007,"CYP","fireball",1
2011,"CYP","fireball",2
2011,"CZE","fireball",1
2013,"CZE","fireball",1
1968,"DEU","fireball",1
2000,"DEU","fireball",1
2003,"DEU","fireball",2
2006,"DEU","fireball",1
2007,"DEU","fireball",1
2008,"DEU","fireball",2
2009,"DEU","fireball",3
2012,"DEU","fireball",2
2013,"DMA","fireball",1
1989,"DNK","fireball",1
2003,"ECU","fireball",1
2002,"EGY","fireball",1
2004,"EGY","fireball",1
2013,"EGY","fireball",1
1974,"ESP","fireball",1
1998,"ESP","fireball",1
2006,"ESP","fireball",2
2010,"ESP","fireball",1
2011,"ESP","fireball",1
2012,"ESP","fireball",1
2005,"EST","fireball",1
2006,"EST","fireball",1
1973,"FIN","fireball",1
1993,"FIN","fireball",1
2003,"FIN","fireball",1
2008,"FIN","fireball",1
1994,"FRA","fireball",1
2000,"FRA","fireball",1
2006,"FRA","fireball",1
2007,"FRA","fireball",1
1973,"GBR","fireball",1
1982,"GBR","fireball",1
1985,"GBR","fireball",1
1995,"GBR","fireball",2
1997,"GBR","fireball",1
1998,"GBR","fireball",3
1999,"GBR","fireball",3
2000,"GBR","fireball",6
2001,"GBR","fireball",4
2002,"GBR","fireball",5
2003,"GBR","fireball",4
2004,"GBR","fireball",6
2005,"GBR","fireball",4
2006,"GBR","fireball",7
2007,"GBR","fireball",13
2008,"GBR","fireball",13
2009,"GBR","fireball",34
2010,"GBR","fireball",23
2011,"GBR","fireball",3
2012,"GBR","fireball",8
2013,"GBR","fireball",4
2009,"GEO","fireball",1
1987,"GRC","fireball",1
1995,"GRC","fireball",1
1998,"GRC","fireball",1
2013,"GTM","fireball",1
2013,"HND","fireball",1
1985,"HRV","fireball",1
1988,"HRV","fireball",1
1989,"HRV","fireball",1
2003,"HRV","fireball",1
2003,"IDN","fireball",1
1977,"IND","fireball",1
1978,"IND","fireball",1
2000,"IND","fireball",1
2001,"IND","fireball",2
2003,"IND","fireball",2
2005,"IND","fireball",1
2006,"IND","fireball",3
2007,"IND","fireball",5
2010,"IND","fireball",1
2011,"IND","fireball",2
2012,"IND","fireball",5
2013,"IND","fireball",2
2014,"IND","fireball",6
1995,"IRL","fireball",1
1998,"IRL","fireball",1
2003,"IRL","fireball",1
2009,"IRL","fireball",2
2012,"IRL","fireball",1
2006,"IRQ","fireball",1
2009,"IRQ","fireball",1
2009,"ISL","fireball",1
2012,"ISL","fireball",1
2000,"ISR","fireball",1
2006,"ISR","fireball",1
2001,"ITA","fireball",1
2002,"ITA","fireball",1
2005,"ITA","fireball",1
2009,"ITA","fireball",1
2010,"ITA","fireball",1
2013,"ITA","fireball",1
2013,"JAM","fireball",1
2002,"JPN","fireball",1
2004,"JPN","fireball",1
2005,"JPN","fireball",1
2012,"JPN","fireball",1
1982,"KEN","fireball",1
2014,"KEN","fireball",1
1999,"KOR","fireball",1
2011,"KOR","fireball",2
2012,"KOR","fireball",1
1997,"LBN","fireball",1
2002,"LBN","fireball",1
2007,"LBN","fireball",1
2000,"LKA","fireball",1
2002,"LKA","fireball",2
2008,"LVA","fireball",1
2013,"LVA","fireball",1
1978,"MEX","fireball",1
1999,"MEX","fireball",1
2001,"MEX","fireball",1
2003,"MEX","fireball",1
2005,"MEX","fireball",2
2008,"MEX","fireball",2
2013,"MEX","fireball",1
2012,"MLT","fireball",1
2011,"MUS","fireball",1
1995,"MYS","fireball",1
1999,"MYS","fireball",3
2001,"MYS","fireball",1
2002,"MYS","fireball",1
2003,"MYS","fireball",2
2008,"MYS","fireball",1
2009,"MYS","fireball",1
2009,"NAM","fireball",1
2001,"NLD","fireball",1
2002,"NLD","fireball",1
2003,"NLD","fireball",3
2005,"NLD","fireball",2
2008,"NLD","fireball",1
2009,"NLD","fireball",1
1995,"NOR","fireball",1
2008,"NOR","fireball",1
2000,"NZL","fireball",1
2002,"NZL","fireball",1
2004,"NZL","fireball",1
2006,"NZL","fireball",1
2007,"NZL","fireball",1
2010,"NZL","fireball",1
2012,"NZL","fireball",1
2013,"NZL","fireball",1
1996,"PAK","fireball",1
2013,"PAK","fireball",1
2008,"PAN","fireball",1
2013,"PHL","fireball",2
2012,"PNG","fireball",1
1999,"POL","fireball",1
2006,"POL","fireball",1
2013,"POL","fireball",1
2008,"PRI","fireball",1
2012,"PRI","fireball",4
2013,"PRI","fireball",1
2008,"PRY","fireball",1
1998,"PSE","fireball",1
1973,"ROU","fireball",1
2002,"ROU","fireball",1
2004,"ROU","fireball",1
2010,"ROU","fireball",1
2006,"RUS","fireball",1
2010,"SRB","fireball",2
1993,"SWE","fireball",1
1995,"SWE","fireball",1
2000,"SWE","fireball",1
2005,"TCA","fireball",1
2011,"TTO","fireball",1
2012,"TTO","fireball",1
2000,"TUR","fireball",1
2002,"TUR","fireball",1
2009,"TZA","fireball",1
1989,"UKR","fireball",1
2009,"UKR","fireball",1
2000,"URY","fireball",1
2009,"URY","fireball",1
1966,"USA","fireball",1
1968,"USA","fireball",8
1970,"USA","fireball",2
1972,"USA","fireball",3
1973,"USA","fireball",4
1974,"USA","fireball",6
1975,"USA","fireball",9
1976,"USA","fireball",6
1977,"USA","fireball",2
1978,"USA","fireball",8
1979,"USA","fireball",6
1980,"USA","fireball",4
1981,"USA","fireball",6
1982,"USA","fireball",4
1983,"USA","fireball",4
1984,"USA","fireball",7
1985,"USA","fireball",2
1986,"USA","fireball",5
1987,"USA","fireball",6
1988,"USA","fireball",4
1989,"USA","fireball",5
1990,"USA","fireball",9
1991,"USA","fireball",2
1992,"USA","fireball",9
1993,"USA","fireball",4
1994,"USA","fireball",14
1995,"USA","fireball",21
1996,"USA","fireball",15
1997,"USA","fireball",39
1998,"USA","fireball",208
1999,"USA","fireball",254
