"year","country","shape","value"
1997,"USA","chevron",25
1998,"USA","chevron",17
1999,"USA","chevron",46
2000,"USA","chevron",34
2001,"USA","chevron",43
2002,"USA","chevron",57
2003,"USA","chevron",45
2004,"USA","chevron",53
2005,"USA","chevron",39
2006,"USA","chevron",33
2007,"USA","chevron",41
2008,"USA","chevron",62
2009,"USA","chevron",34
2010,"USA","chevron",45
2011,"USA","chevron",41
2012,"USA","chevron",59
2013,"USA","chevron",52
2014,"USA","chevron",19
2014,"ZAF","chevron",1
2003,"AFG","cigar",1
2006,"ARE","cigar",1
1974,"AUS","cigar",1
1988,"AUS","cigar",2
1998,"AUS","cigar",1
1999,"AUS","cigar",3
2001,"AUS","cigar",1
2002,"AUS","cigar",1
2003,"AUS","cigar",2
2004,"AUS","cigar",1
2005,"AUS","cigar",1
2006,"AUS","cigar",1
2007,"AUS","cigar",3
2012,"AUS","cigar",2
2011,"AZE","cigar",1
1985,"BHS","cigar",1
1975,"BRA","cigar",1
2003,"BRA","cigar",1
1966,"CAN","cigar",1
1972,"CAN","cigar",1
1981,"CAN","cigar",2
1983,"CAN","cigar",1
1986,"CAN","cigar",1
1987,"CAN","cigar",1
1989,"CAN","cigar",2
1992,"CAN","cigar",1
1993,"CAN","cigar",1
1996,"CAN","cigar",1
1998,"CAN","cigar",3
1999,"CAN","cigar",2
2000,"CAN","cigar",6
2001,"CAN","cigar",4
2002,"CAN","cigar",3
2003,"CAN","cigar",8
2004,"CAN","cigar",9
2005,"CAN","cigar",7
2006,"CAN","cigar",7
2007,"CAN","cigar",6
2008,"CAN","cigar",1
2009,"CAN","cigar",4
2010,"CAN","cigar",6
2011,"CAN","cigar",2
2012,"CAN","cigar",3
2013,"CAN","cigar",8
2014,"CAN","cigar",1
2003,"CHE","cigar",1
1998,"CHL","cigar",1
2001,"CHL","cigar",1
2006,"CHN","cigar",1
2007,"CHN","cigar",1
2003,"CYP","cigar",1
1966,"DEU","cigar",1
1979,"DEU","cigar",1
2007,"DEU","cigar",1
2001,"DNK","cigar",1
2009,"DNK","cigar",1
2010,"DNK","cigar",1
1978,"DOM","cigar",2
2000,"EGY","cigar",1
2005,"ESP","cigar",1
2008,"ESP","cigar",1
2010,"ESP","cigar",1
2012,"ESP","cigar",1
1997,"FIN","cigar",1
1982,"FRA","cigar",1
2005,"FRA","cigar",1
2011,"FRA","cigar",1
1974,"GBR","cigar",1
1975,"GBR","cigar",2
1976,"GBR","cigar",2
1978,"GBR","cigar",1
1983,"GBR","cigar",1
1984,"GBR","cigar",1
1988,"GBR","cigar",1
1993,"GBR","cigar",2
1998,"GBR","cigar",4
1999,"GBR","cigar",1
2000,"GBR","cigar",4
2001,"GBR","cigar",4
2002,"GBR","cigar",7
2003,"GBR","cigar",6
2004,"GBR","cigar",12
2005,"GBR","cigar",4
2006,"GBR","cigar",5
2007,"GBR","cigar",4
2008,"GBR","cigar",4
2009,"GBR","cigar",3
2012,"GBR","cigar",2
2013,"GBR","cigar",2
2009,"GRC","cigar",1
1973,"GUM","cigar",1
2003,"HRV","cigar",1
2007,"HRV","cigar",1
2009,"HRV","cigar",1
2002,"HUN","cigar",1
2004,"IND","cigar",1
2007,"IND","cigar",1
2009,"IND","cigar",1
2010,"IND","cigar",1
1999,"IRL","cigar",1
2001,"IRL","cigar",1
2003,"IRL","cigar",1
2008,"IRL","cigar",1
2011,"IRL","cigar",1
2014,"IRL","cigar",1
1975,"ISR","cigar",1
1998,"ISR","cigar",1
1998,"ITA","cigar",1
2001,"ITA","cigar",1
2007,"ITA","cigar",1
2004,"JOR","cigar",1
1975,"KAZ","cigar",1
1987,"KAZ","cigar",1
2000,"MEX","cigar",1
2004,"MEX","cigar",1
2006,"MEX","cigar",3
2009,"MEX","cigar",1
2011,"MEX","cigar",1
2013,"MMR","cigar",1
2000,"MYS","cigar",1
1998,"NLD","cigar",1
2003,"NLD","cigar",1
2004,"NLD","cigar",1
2003,"NOR","cigar",1
2005,"NZL","cigar",1
2014,"OMN","cigar",1
1999,"PAK","cigar",1
2010,"PER","cigar",2
2002,"PHL","cigar",1
2003,"PHL","cigar",1
1997,"POL","cigar",1
2006,"POL","cigar",1
1976,"PRI","cigar",1
1977,"PRI","cigar",1
2008,"PRI","cigar",1
2013,"PRI","cigar",1
2005,"PRT","cigar",1
2006,"ROU","cigar",1
1975,"SWE","cigar",1
1998,"SWE","cigar",1
2009,"SWE","cigar",1
2012,"SWE","cigar",1
1962,"USA","cigar",2
1966,"USA","cigar",11
1968,"USA","cigar",16
1970,"USA","cigar",1
1971,"USA","cigar",9
1972,"USA","cigar",7
1973,"USA","cigar",13
1974,"USA","cigar",13
1975,"USA","cigar",15
1976,"USA","cigar",11
1977,"USA","cigar",16
1978,"USA","cigar",10
1979,"USA","cigar",9
1980,"USA","cigar",13
1981,"USA","cigar",9
1982,"USA","cigar",5
1983,"USA","cigar",2
1984,"USA","cigar",4
1985,"USA","cigar",6
1986,"USA","cigar",7
1987,"USA","cigar",10
1988,"USA","cigar",3
1989,"USA","cigar",7
1990,"USA","cigar",7
1991,"USA","cigar",7
1992,"USA","cigar",9
1993,"USA","cigar",12
1994,"USA","cigar",8
1995,"USA","cigar",13
1996,"USA","cigar",5
1997,"USA","cigar",29
1998,"USA","cigar",30
1999,"USA","cigar",71
2000,"USA","cigar",63
2001,"USA","cigar",81
2002,"USA","cigar",66
2003,"USA","cigar",86
2004,"USA","cigar",77
2005,"USA","cigar",97
2006,"USA","cigar",89
2007,"USA","cigar",111
2008,"USA","cigar",127
2009,"USA","cigar",87
2010,"USA","cigar",84
2011,"USA","cigar",77
2012,"USA","cigar",100
2013,"USA","cigar",101
2014,"USA","cigar",33
1976,"ZAF","cigar",1
2004,"ZAF","cigar",1
2012,"AFG","circle",1
2009,"ARE","circle",1
1983,"ARG","circle",1
2003,"ARG","circle",1
2004,"ARG","circle",1
2008,"ARG","circle",1
2009,"ARG","circle",1
2012,"ARM","circle",1
1976,"AUS","circle",1
1978,"AUS","circle",1
1979,"AUS","circle",1
1982,"AUS","circle",1
1983,"AUS","circle",1
1985,"AUS","circle",1
1987,"AUS","circle",2
1994,"AUS","circle",2
1997,"AUS","circle",1
1998,"AUS","circle",4
1999,"AUS","circle",6
2000,"AUS","circle",2
2001,"AUS","circle",4
2002,"AUS","circle",8
2003,"AUS","circle",2
2004,"AUS","circle",5
2005,"AUS","circle",6
2006,"AUS","circle",8
2007,"AUS","circle",4
2008,"AUS","circle",3
