"year","country","sightings","gdp","unemployment","internet","scifi"
1983,"AND",0,327861832.947,0,0,0
1984,"AND",0,330070689.298,0,0,0
1985,"AND",0,346737964.775,0,0,0
1986,"AND",0,482000594.036,0,0,0
1987,"AND",0,611316399.407,0,0,0
1988,"AND",0,721425939.152,0,0,0
1989,"AND",0,795449332.396,0,0,0
1990,"AND",0,1029048481.88,0,0.0,0
1991,"AND",0,1106928582.87,0,0.0,0
1992,"AND",0,1210013651.88,0,0.0,0
1993,"AND",0,1007025755.0,0,0.0,0
1994,"AND",0,1017549124.33,0,0.0,0
1995,"AND",0,1178738991.19,0,0.0,0
1996,"AND",0,1223945356.63,0,1.526601023,0
1997,"AND",0,1180597272.73,0,3.050175385,0
1998,"AND",0,1211932397.82,0,6.886209218,0
1999,"AND",0,1239876305.14,0,7.635686143,0
2000,"AND",0,1401695227.57,0,10.53883561,0
2001,"AND",0,1484017897.09,0,0.0,0
2002,"AND",0,1717485413.14,0,11.26046872,0
2003,"AND",0,2373927765.24,0,13.54641288,0
2004,"AND",1,2916786689.84,0,26.83795439,0
2005,"AND",0,3248215396.1,0,37.60576622,0
2006,"AND",0,3536632793.88,0,48.936847,0
2007,"AND",0,4010990966.33,0,70.87,0
2008,"AND",0,4001201113.23,0,70.04,0
2009,"AND",0,3650083356.49,0,78.53,0
2010,"AND",0,3346516556.29,0,81.0,0
2011,"AND",0,3427022518.77,0,81.0,0
2012,"AND",0,3146151869.46,0,86.43442462,0
2013,"AND",0,3248924588.42,0,94.0,0
2014,"AND",0,0,0,95.9,0
1960,"ARE",0,0,0,0,0
1961,"ARE",0,0,0,0,0
1962,"ARE",0,0,0,0,0
1963,"ARE",0,0,0,0,0
1964,"ARE",0,0,0,0,0
1965,"ARE",0,0,0,0,0
1966,"ARE",0,0,0,0,0
1967,"ARE",0,0,0,0,0
1968,"ARE",0,0,0,0,0
1969,"ARE",0,0,0,0,0
1970,"ARE",0,0,0,0,0
1971,"ARE",0,0,0,0,0
1972,"ARE",0,0,0,0,0
1973,"ARE",0,0,0,0,0
1974,"ARE",0,0,0,0,0
1975,"ARE",0,14720672506.5,0,0,0
1976,"ARE",0,19213022691.1,0,0,0
1977,"ARE",0,24871775164.6,0,0,0
1978,"ARE",0,23775831783.4,0,0,0
1979,"ARE",0,31225463217.8,0,0,0
1980,"ARE",0,43598748449.0,0,0,0
1981,"ARE",0,49333424135.1,0,0,0
1982,"ARE",0,46622718605.3,0,0,0
1983,"ARE",0,42803323345.1,0,0,0
1984,"ARE",1,41807954235.9,0,0,0
1985,"ARE",0,40603650231.5,0,0,0
1986,"ARE",0,33943612094.8,0,0,0
1987,"ARE",0,36384908744.2,0,0,0
1988,"ARE",0,36275674203.2,0,0,0
1989,"ARE",0,41464995913.9,0,0,0
1990,"ARE",0,50701443748.3,0,0.0,0
1991,"ARE",0,51552165622.4,3.20700001717,0.0,0
1992,"ARE",0,54239171887.8,3.257999897,0.0,0
1993,"ARE",0,55625170253.3,3.26799988747,0.0,0
1994,"ARE",0,59305093979.8,2.07999992371,0.0,0
1995,"ARE",0,65743666575.9,1.79999995232,0.102939175,0
1996,"ARE",0,73571233996.2,2.70499992371,0.375393534,0
1997,"ARE",0,78839008444.6,2.61100006104,3.295592694,0
1998,"ARE",0,75674336283.2,3.28600001335,6.908302986,0
1999,"ARE",0,84445473111.0,3.28099989891,14.94269899,0
2000,"ARE",0,1.04337372362e+11,2.29999995232,23.62530088,0
2001,"ARE",1,1.03311640572e+11,3.31299996376,26.2717542,0
2002,"ARE",2,1.09816201498e+11,3.34999990463,28.31648531,0
2003,"ARE",2,1.24346358067e+11,2.79600000381,29.47795341,0
2004,"ARE",2,1.4782437032e+11,3.20499992371,30.13129617,0
2005,"ARE",0,1.8061701838e+11,3.09999990463,40.0,0
2006,"ARE",1,2.22116541865e+11,3.15700006485,52.0,0
2007,"ARE",0,2.57916133424e+11,3.18400001526,61.0,0
2008,"ARE",0,3.15474615739e+11,4.0,63.0,0
2009,"ARE",3,2.53547358747e+11,4.19999980927,64.0,0
2010,"ARE",4,2.89880430197e+11,4.17100000381,68.0,0
2011,"ARE",0,3.50908390046e+11,4.12799978256,78.0,0
2012,"ARE",4,3.74817974113e+11,4.08099985123,84.9999915,0
2013,"ARE",0,3.90427289211e+11,4.01999998093,88.0,0
2014,"ARE",0,4.03197682888e+11,3.96600008011,90.4,0
1960,"ARG",0,0,0,0,0
1961,"ARG",0,0,0,0,0
1962,"ARG",0,24450604877.6,0,0,0
1963,"ARG",0,18272123664.5,0,0,0
1964,"ARG",0,25605249381.8,0,0,0
1965,"ARG",0,28344705966.6,0,0,0
1966,"ARG",0,28630474727.9,0,0,0
1967,"ARG",0,24256667553.3,0,0,0
1968,"ARG",0,26436857247.5,0,0,0
1969,"ARG",0,31256284543.6,0,0,0
1970,"ARG",0,31584210365.5,0,0,0
1971,"ARG",0,33293199095.5,0,0,0
1972,"ARG",0,34733000536.3,0,0,0
1973,"ARG",0,52544000116.9,0,0,0
1974,"ARG",0,72436777342.5,0,0,0
1975,"ARG",0,52438647921.9,0,0,0
1976,"ARG",0,51169499890.8,0,0,0
1977,"ARG",1,56781000100.9,0,0,0
1978,"ARG",0,58082870156.3,0,0,0
1979,"ARG",0,69252328953.4,0,0,0
1980,"ARG",1,76961923741.9,0,0,0
1981,"ARG",0,78676842366.4,0,0,0
1982,"ARG",0,84307486836.7,0,0,0
1983,"ARG",1,1.03979106778e+11,0,0,0
1984,"ARG",0,79092001998.0,0,0,0
1985,"ARG",0,88416668900.3,0,0,0
1986,"ARG",0,1.10934442763e+11,0,0,0
1987,"ARG",0,1.11106191358e+11,0,0,0
1988,"ARG",0,1.26206817196e+11,0,0,0
1989,"ARG",0,76636898036.5,0,0,0
1990,"ARG",0,1.41352368715e+11,0,0.0,0
1991,"ARG",0,1.89719984268e+11,5.80000019073,0.0,0
1992,"ARG",0,2.28788617202e+11,6.69999980927,0.002992874,0
1993,"ARG",0,2.36741715015e+11,10.1000003815,0.029527065,0
1994,"ARG",0,2.5744e+11,12.1000003815,0.043705951,0
1995,"ARG",0,2.5803175e+11,18.7999992371,0.086277081,0
1996,"ARG",0,2.7214975e+11,17.2000007629,0.141954704,0
1997,"ARG",0,2.92859e+11,14.8999996185,0.280339882,0
1998,"ARG",0,2.9894825e+11,12.8000001907,0.83076668,0
1999,"ARG",1,2.83523e+11,14.1000003815,3.284481956,0
2000,"ARG",1,2.8420375e+11,15.0200004578,7.038683086,0
2001,"ARG",0,2.6869675e+11,17.3999996185,9.780807285,0
2002,"ARG",3,97724004251.9,19.6000003815,10.88212438,0
2003,"ARG",4,1.27586973492e+11,16.0300006866,11.91369655,0
2004,"ARG",4,1.64657930453e+11,13.5220003128,16.03668411,0
2005,"ARG",1,1.98737095012e+11,11.5059995651,17.72058337,0
2006,"ARG",0,2.32557260817e+11,9.44999980927,20.9272021,0
2007,"ARG",2,2.87530508431e+11,8.41499996185,25.94663294,0
2008,"ARG",1,3.6155803711e+11,7.83699989319,28.11262348,0
2009,"ARG",1,3.32976484578e+11,8.64500045776,34.0,0
2010,"ARG",0,4.23627422092e+11,7.71400022507,45.0,0
2011,"ARG",1,5.30163281575e+11,7.17899990082,51.0,0
2012,"ARG",2,5.45982375701e+11,7.21700000763,55.8,0
2013,"ARG",3,5.52025140252e+11,7.09999990463,59.9,0
2014,"ARG",0,5.26319673732e+11,7.26800012589,64.7,0
1960,"ARM",0,0,0,0,0
1961,"ARM",0,0,0,0,0
1962,"ARM",0,0,0,0,0
1963,"ARM",0,0,0,0,0
1964,"ARM",0,0,0,0,0
1965,"ARM",0,0,0,0,0
1966,"ARM",0,0,0,0,0
1967,"ARM",0,0,0,0,0
1968,"ARM",0,0,0,0,0
1969,"ARM",0,0,0,0,0
1970,"ARM",0,0,0,0,0
1971,"ARM",0,0,0,0,0
1972,"ARM",0,0,0,0,0
1973,"ARM",0,0,0,0,0
1974,"ARM",0,0,0,0,0
1975,"ARM",0,0,0,0,0
1976,"ARM",0,0,0,0,0
1977,"ARM",0,0,0,0,0
1978,"ARM",0,0,0,0,0
1979,"ARM",0,0,0,0,0
1980,"ARM",0,0,0,0,0
1981,"ARM",0,0,0,0,0
1982,"ARM",0,0,0,0,0
1983,"ARM",0,0,0,0,0
1984,"ARM",0,0,0,0,0
1985,"ARM",0,0,0,0,0
1986,"ARM",0,0,0,0,0
1987,"ARM",0,0,0,0,0
1988,"ARM",0,0,0,0,0
1989,"ARM",0,0,0,0,0
1990,"ARM",0,2256838858.43,0,0.0,0
1991,"ARM",0,2068526521.9,18.9869995117,0.0,0
1992,"ARM",0,1272577521.77,18.0540008545,0.0,0
1993,"ARM",0,1201313196.46,18.6280002594,0.0,0
1994,"ARM",0,1315158670.48,17.7950000763,0.009117014,0
1995,"ARM",0,1468317350.02,17.9589996338,0.052743123,0
1996,"ARM",0,1596968913.19,18.1660003662,0.094572902,0
1997,"ARM",0,1639492424.38,16.7329998016,0.111650935,0
1998,"ARM",0,1893726437.36,17.3409996033,0.128659478,0
1999,"ARM",0,1845482181.49,16.8939990997,0.970737757,0
2000,"ARM",0,1911563665.39,18.0160007477,1.300470022,0
2001,"ARM",0,2118467913.38,17.938999176,1.631094667,0
2002,"ARM",0,2376335048.4,17.8120002747,1.960405046,0
2003,"ARM",0,2807061008.69,17.6509990692,4.575217225,0
2004,"ARM",0,3576615240.42,17.4689998627,4.899008571,0
2005,"ARM",0,4900469515.07,17.2329998016,5.252983352,0
2006,"ARM",0,6384451606.14,16.966999054,5.631787777,0
2007,"ARM",0,9206301700.4,16.6660003662,6.021253397,0
2008,"ARM",1,11662040713.9,16.3999996185,6.21,0
2009,"ARM",0,8647936747.99,18.7000007629,15.3,0
2010,"ARM",0,9260284937.8,19.0,25.0,0
2011,"ARM",0,10142111334.5,18.3999996185,32.0,0
2012,"ARM",2,10619320048.6,17.2999992371,37.5,0
2013,"ARM",0,11121465767.4,16.2000007629,41.9,0
2014,"ARM",0,11609512939.8,17.6000003815,54.62280586,0
1960,"ATG",0,0,0,0,0
1961,"ATG",0,0,0,0,0
1962,"ATG",0,0,0,0,0
1963,"ATG",0,0,0,0,0
1964,"ATG",0,0,0,0,0
1965,"ATG",0,0,0,0,0
1966,"ATG",0,0,0,0,0
1967,"ATG",0,0,0,0,0
1968,"ATG",0,0,0,0,0
1969,"ATG",0,0,0,0,0
1970,"ATG",0,0,0,0,0
1971,"ATG",0,0,0,0,0
1972,"ATG",0,0,0,0,0
1973,"ATG",0,0,0,0,0
1974,"ATG",0,0,0,0,0
1975,"ATG",0,0,0,0,0
1976,"ATG",0,0,0,0,0
1977,"ATG",0,77496740.7407,0,0,0
1978,"ATG",0,87879333.3333,0,0,0
1979,"ATG",0,109079962.963,0,0,0
1980,"ATG",0,131431037.037,0,0,0
1981,"ATG",0,147841740.741,0,0,0
1982,"ATG",0,164369296.296,0,0,0
1983,"ATG",0,182144111.111,0,0,0
1984,"ATG",0,208372851.852,0,0,0
1985,"ATG",0,240923925.926,0,0,0
1986,"ATG",0,290440148.148,0,0,0
1987,"ATG",0,337174851.852,0,0,0
1988,"ATG",0,398637740.741,0,0,0
1989,"ATG",0,438794777.778,0,0,0
1990,"ATG",0,459469074.074,0,0.0,0
1991,"ATG",0,481706333.333,0,0.0,0
1992,"ATG",0,499281148.148,0,0.0,0
1993,"ATG",0,535172777.778,0,0.0,0
1994,"ATG",0,589429592.593,0,0.0,0
1995,"ATG",0,577280740.741,0,2.200768802,0
1996,"ATG",0,633730629.63,0,2.858449577,0
1997,"ATG",0,680617111.111,0,3.480536838,0
1998,"ATG",1,727860592.593,0,4.0717165,0
1999,"ATG",0,766198925.926,0,5.300681138,0
2000,"ATG",0,825405518.519,0,6.482225737,0
2001,"ATG",0,795976518.519,0,8.899285515,0
2002,"ATG",0,809754481.481,0,12.5,0
2003,"ATG",0,850218592.593,0,17.22864878,0
2004,"ATG",0,913710370.37,0,24.26654372,0
2005,"ATG",0,1014979666.67,0,27.0,0
2006,"ATG",0,1149025481.48,0,30.0,0
2007,"ATG",0,1302388925.93,0,34.0,0
2008,"ATG",0,1359733555.56,0,38.0,0
2009,"ATG",0,1217719666.67,0,42.0,0
2010,"ATG",1,1147942222.22,0,47.0,0
2011,"ATG",0,1141865444.44,0,52.0,0
2012,"ATG",0,1216045777.78,0,58.0,0
2013,"ATG",0,1195885111.11,0,63.4,0
2014,"ATG",0,1274330333.33,0,67.78,0
1960,"AUS",0,18593347519.3,0,0,0
1961,"AUS",0,19666256019.7,0,0,0
1962,"AUS",1,19911524246.8,0,0,0
1963,"AUS",0,21527606674.9,0,0,0
1964,"AUS",0,23787658192.4,0,0,0
1965,"AUS",0,25962593795.5,0,0,0
1966,"AUS",0,27288610146.7,0,0,0
1967,"AUS",0,30421099787.2,0,0,0
1968,"AUS",1,32687870982.2,0,0,0
1969,"AUS",0,36659200358.4,0,0,0
1970,"AUS",1,41304737372.6,0,0,0
1971,"AUS",0,45183111210.7,0,0,0
1972,"AUS",3,52003504672.9,0,0,0
1973,"AUS",0,63782190903.3,0,0,0
1974,"AUS",3,88906411201.2,0,0,0
1975,"AUS",6,97226546497.3,0,0,0
1976,"AUS",4,1.04974158578e+11,0,0,0
1977,"AUS",1,1.10266116082e+11,0,0,0
1978,"AUS",3,1.18400631626e+11,0,0,0
1979,"AUS",1,1.34793820289e+11,0,0,0
1980,"AUS",2,1.49887465181e+11,0,0,0
1981,"AUS",1,1.76804829908e+11,0,0,0
1982,"AUS",2,1.93954540439e+11,0,0,0
1983,"AUS",5,1.77176415536e+11,0,0,0
1984,"AUS",2,1.93503894222e+11,0,0,0
1985,"AUS",1,1.80470967247e+11,0,0,0
1986,"AUS",3,1.82281757135e+11,0,0,0
1987,"AUS",3,1.89375992589e+11,0,0,0
1988,"AUS",4,2.36135768335e+11,0,0,0
1989,"AUS",0,2.99941372852e+11,0,0,0
1990,"AUS",5,3.11425933051e+11,0,0.585094712,0
1991,"AUS",2,3.26068597441e+11,9.57900047302,1.097203891,0
1992,"AUS",5,3.25692532493e+11,10.7290000916,1.768764913,0
1993,"AUS",4,3.1237282181e+11,10.8739995956,1.974611016,0
1994,"AUS",3,3.23216879972e+11,9.71899986267,2.232101254,0
1995,"AUS",5,3.68391743392e+11,8.46899986267,2.759654513,0
1996,"AUS",15,4.01819423369e+11,8.50599956512,3.27524987,0
1997,"AUS",10,4.36097980905e+11,8.36200046539,16.36935838,0
1998,"AUS",21,3.99778878112e+11,7.67600011826,30.81323944,0
1999,"AUS",30,3.89146509588e+11,6.87200021744,40.7837839,0
2000,"AUS",29,4.15446209885e+11,6.28299999237,46.75611561,0
2001,"AUS",45,3.7889986047e+11,6.742000103,52.68926643,0
2002,"AUS",55,3.94635830892e+11,6.36800003052,0.0,0
2003,"AUS",61,4.66853232382e+11,5.92899990082,0.0,0
2004,"AUS",54,6.1332977664e+11,5.39499998093,0.0,0
2005,"AUS",56,6.93764095625e+11,5.03299999237,63.0,0
2006,"AUS",48,7.47572626535e+11,4.78200006485,66.0,0
2007,"AUS",34,8.53764622753e+11,4.37699985504,69.45,0
2008,"AUS",26,1.05533482543e+12,4.23400020599,71.67,0
2009,"AUS",18,9.27168311e+11,5.5609998703,74.25,0
2010,"AUS",17,1.14287677266e+12,5.21099996567,76.0,0
2011,"AUS",15,1.39055703441e+12,5.08099985123,79.48769771,0
2012,"AUS",27,1.53819447309e+12,5.22100019455,79.0,0
2013,"AUS",40,1.56717861906e+12,5.65600013733,83.45349717,0
2014,"AUS",15,1.45959790691e+12,6.07399988174,84.0,0
1960,"AUT",0,6592693841.18,0,0,0
