"unique.id";"datetime";"country";"Year";"WeekDay";"Hour"
98;2001-10-10 20:35:00;"USA";"2001";"Qua";"20"
99;2001-10-10 21:15:00;"USA";"2001";"Qua";"21"
100;2001-10-10 21:30:00;"USA";"2001";"Qua";"21"
101;2001-10-10 22:00:00;"USA";"2001";"Qua";"22"
102;2001-10-10 23:00:00;"USA";"2001";"Qua";"23"
103;2002-10-10 00:01:00;"USA";"2002";"Qui";"00"
104;2002-10-10 02:00:00;"USA";"2002";"Qui";"02"
105;2002-10-10 04:00:00;"AUS";"2002";"Qui";"04"
106;2002-10-10 06:00:00;"USA";"2002";"Qui";"06"
107;2002-10-10 19:45:00;"CAN";"2002";"Qui";"19"
108;2002-10-10 20:30:00;"USA";"2002";"Qui";"20"
109;2002-10-10 21:00:00;"USA";"2002";"Qui";"21"
110;2002-10-10 22:00:00;"AUS";"2002";"Qui";"22"
111;2003-10-10 12:00:00;"USA";"2003";"Sex";"12"
112;2003-10-10 18:00:00;"USA";"2003";"Sex";"18"
113;2003-10-10 19:15:00;"USA";"2003";"Sex";"19"
114;2003-10-10 20:05:00;"USA";"2003";"Sex";"20"
115;2003-10-10 20:25:00;"USA";"2003";"Sex";"20"
116;2003-10-10 21:10:00;"USA";"2003";"Sex";"21"
117;2003-10-10 22:00:00;"USA";"2003";"Sex";"22"
118;2003-10-10 23:00:00;"GBR";"2003";"Sex";"23"
119;2003-10-10 23:25:00;"USA";"2003";"Sex";"23"
120;2004-10-10 02:50:00;"USA";"2004";"Dom";"02"
121;2004-10-10 03:50:00;"CAN";"2004";"Dom";"03"
122;2004-10-10 04:18:00;"USA";"2004";"Dom";"04"
123;2004-10-10 08:30:00;"USA";"2004";"Dom";"08"
124;2004-10-10 09:45:00;"CAN";"2004";"Dom";"09"
125;2004-10-10 14:00:00;"USA";"2004";"Dom";"14"
126;2004-10-10 15:00:00;"USA";"2004";"Dom";"15"
127;2004-10-10 15:00:00;"USA";"2004";"Dom";"15"
128;2004-10-10 15:20:00;"LTU";"2004";"Dom";"15"
129;2004-10-10 19:00:00;"USA";"2004";"Dom";"19"
130;2004-10-10 21:00:00;"USA";"2004";"Dom";"21"
131;2004-10-10 21:00:00;"USA";"2004";"Dom";"21"
132;2004-10-10 22:00:00;"USA";"2004";"Dom";"22"
133;2004-10-10 23:30:00;"USA";"2004";"Dom";"23"
134;2005-10-10 07:40:00;"USA";"2005";"Seg";"07"
135;2005-10-10 09:00:00;"USA";"2005";"Seg";"09"
136;2005-10-10 09:30:00;"USA";"2005";"Seg";"09"
137;2005-10-10 11:30:00;"USA";"2005";"Seg";"11"
138;2005-10-10 14:45:00;"USA";"2005";"Seg";"14"
139;2005-10-10 20:00:00;"USA";"2005";"Seg";"20"
140;2005-10-10 20:00:00;"GBR";"2005";"Seg";"20"
141;2005-10-10 21:00:00;"USA";"2005";"Seg";"21"
142;2005-10-10 21:30:00;"USA";"2005";"Seg";"21"
143;2005-10-10 22:08:00;"USA";"2005";"Seg";"22"
144;2005-10-10 23:00:00;"USA";"2005";"Seg";"23"
145;2005-10-10 23:07:00;"USA";"2005";"Seg";"23"
146;2005-10-10 00:00:00;"USA";"2005";"Seg";"00"
147;2006-10-10 01:00:00;"USA";"2006";"Ter";"01"
148;2006-10-10 05:00:00;"USA";"2006";"Ter";"05"
149;2006-10-10 12:37:00;"USA";"2006";"Ter";"12"
150;2006-10-10 16:00:00;"USA";"2006";"Ter";"16"
151;2006-10-10 16:00:00;"USA";"2006";"Ter";"16"
152;2006-10-10 20:00:00;"USA";"2006";"Ter";"20"
153;2006-10-10 21:47:00;"GBR";"2006";"Ter";"21"
154;2006-10-10 22:40:00;"USA";"2006";"Ter";"22"
155;2006-10-10 22:50:00;"USA";"2006";"Ter";"22"
156;2006-10-10 23:00:00;"USA";"2006";"Ter";"23"
157;2006-10-10 23:55:00;"USA";"2006";"Ter";"23"
158;2007-10-10 01:00:00;"USA";"2007";"Qua";"01"
159;2007-10-10 01:00:00;"USA";"2007";"Qua";"01"
160;2007-10-10 04:00:00;"USA";"2007";"Qua";"04"
161;2007-10-10 04:30:00;"USA";"2007";"Qua";"04"
162;2007-10-10 05:00:00;"USA";"2007";"Qua";"05"
163;2007-10-10 06:00:00;"USA";"2007";"Qua";"06"
164;2007-10-10 13:00:00;"USA";"2007";"Qua";"13"
165;2007-10-10 18:33:00;"USA";"2007";"Qua";"18"
166;2007-10-10 19:00:00;"USA";"2007";"Qua";"19"
167;2007-10-10 20:10:00;"USA";"2007";"Qua";"20"
168;2007-10-10 20:30:00;"USA";"2007";"Qua";"20"
169;2007-10-10 20:55:00;"USA";"2007";"Qua";"20"
170;2007-10-10 21:00:00;"USA";"2007";"Qua";"21"
171;2007-10-10 21:43:00;"USA";"2007";"Qua";"21"
172;2007-10-10 22:00:00;"USA";"2007";"Qua";"22"
173;2007-10-10 22:00:00;"USA";"2007";"Qua";"22"
174;2007-10-10 22:00:00;"USA";"2007";"Qua";"22"
175;2007-10-10 22:00:00;"USA";"2007";"Qua";"22"
176;2007-10-10 23:05:00;"USA";"2007";"Qua";"23"
177;2007-10-10 23:20:00;"NOR";"2007";"Qua";"23"
178;2008-10-10 02:00:00;"CAN";"2008";"Sex";"02"
179;2008-10-10 02:00:00;"USA";"2008";"Sex";"02"
180;2008-10-10 02:00:00;"USA";"2008";"Sex";"02"
181;2008-10-10 04:00:00;"USA";"2008";"Sex";"04"
182;2008-10-10 04:50:00;"USA";"2008";"Sex";"04"
183;2008-10-10 06:00:00;"USA";"2008";"Sex";"06"
184;2008-10-10 09:30:00;"USA";"2008";"Sex";"09"
185;2008-10-10 10:22:00;"USA";"2008";"Sex";"10"
186;2008-10-10 18:00:00;"USA";"2008";"Sex";"18"
187;2008-10-10 19:00:00;"USA";"2008";"Sex";"19"
188;2008-10-10 20:00:00;"USA";"2008";"Sex";"20"
189;2008-10-10 20:00:00;"USA";"2008";"Sex";"20"
190;2008-10-10 20:00:00;"USA";"2008";"Sex";"20"
191;2008-10-10 20:40:00;"USA";"2008";"Sex";"20"
192;2008-10-10 21:30:00;"USA";"2008";"Sex";"21"
193;2008-10-10 22:00:00;"USA";"2008";"Sex";"22"
194;2008-10-10 22:30:00;"USA";"2008";"Sex";"22"
195;2008-10-10 23:15:00;"USA";"2008";"Sex";"23"
196;2009-10-10 12:00:00;"USA";"2009";"Sáb";"12"
197;2009-10-10 12:42:00;"USA";"2009";"Sáb";"12"
198;2009-10-10 16:24:00;"USA";"2009";"Sáb";"16"
199;2009-10-10 19:30:00;"USA";"2009";"Sáb";"19"
200;2009-10-10 20:30:00;"USA";"2009";"Sáb";"20"
201;2009-10-10 20:45:00;"USA";"2009";"Sáb";"20"
202;2009-10-10 21:00:00;"USA";"2009";"Sáb";"21"
203;2009-10-10 22:30:00;"USA";"2009";"Sáb";"22"
204;2009-10-10 23:00:00;"USA";"2009";"Sáb";"23"
205;2009-10-10 23:23:00;"USA";"2009";"Sáb";"23"
206;2010-10-10 01:00:00;"USA";"2010";"Dom";"01"
207;2010-10-10 02:30:00;"USA";"2010";"Dom";"02"
208;2010-10-10 03:00:00;"USA";"2010";"Dom";"03"
209;2010-10-10 08:30:00;"USA";"2010";"Dom";"08"
210;2010-10-10 10:45:00;"USA";"2010";"Dom";"10"
211;2010-10-10 12:00:00;"USA";"2010";"Dom";"12"
212;2010-10-10 13:00:00;"USA";"2010";"Dom";"13"
213;2010-10-10 16:30:00;"USA";"2010";"Dom";"16"
214;2010-10-10 17:10:00;"USA";"2010";"Dom";"17"
215;2010-10-10 18:30:00;"USA";"2010";"Dom";"18"
216;2010-10-10 20:00:00;"USA";"2010";"Dom";"20"
217;2010-10-10 20:20:00;"USA";"2010";"Dom";"20"
218;2010-10-10 20:45:00;"USA";"2010";"Dom";"20"
219;2010-10-10 21:00:00;"USA";"2010";"Dom";"21"
220;2010-10-10 21:00:00;"USA";"2010";"Dom";"21"
221;2010-10-10 21:30:00;"USA";"2010";"Dom";"21"
222;2010-10-10 22:30:00;"USA";"2010";"Dom";"22"
223;2010-10-10 23:00:00;"USA";"2010";"Dom";"23"
224;2010-10-10 23:30:00;"USA";"2010";"Dom";"23"
225;2011-10-10 00:00:00;"USA";"2011";"Seg";"00"
226;2011-10-10 01:00:00;"USA";"2011";"Seg";"01"
227;2011-10-10 02:00:00;"USA";"2011";"Seg";"02"
228;2011-10-10 10:30:00;"USA";"2011";"Seg";"10"
229;2011-10-10 14:00:00;"GBR";"2011";"Seg";"14"
230;2011-10-10 14:30:00;"USA";"2011";"Seg";"14"
231;2011-10-10 15:00:00;"USA";"2011";"Seg";"15"
232;2011-10-10 19:00:00;"USA";"2011";"Seg";"19"
233;2011-10-10 20:00:00;"CAN";"2011";"Seg";"20"
