Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.000960519,0.018686353,0.04542348400000001,0.061780293,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3.0,3.7250349160000003,9.1,9.4,11.38764617,13.96,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.19903633399999998,0.241637326,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,13.9,14.4,18.246938,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.002339042,0.019526669,0.11966554900000001,0.725251167,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.97999305,51.89998767,53.0615,55.49,56.6563,59.82554766,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.346205844,0.8432542190000001,1.6462992019999998,3.2182021510000003,4.720358118,6.1537325460000005,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53.0,55.0,76.9999665,88.0,90.0000397,90.50313348,93.47830114,97.99998070000001,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.960030721,1.746950698,1.3629539030000002,2.33559071,3.764557822,8.0,11.8,18.0,20.0,22.0,25.0,26.0,27.0,31.54,33.88,43.0,65.0,71.74820281,72.0,76.92,78.0,80.0,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.015125563,0.059425563,0.14367106,0.19437420000000002,1.08296075,1.2005269509999998,2.6482679140000003,3.9650368339999997,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8,65.06550279999999,69.33100561,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.000485951,0.0029212540000000003,0.029298294,0.049020891,0.073868897,0.494881245,1.860398126,4.300616022,8.950971315,,,,16.2,19.7,23.0,27.43,31.8,39.64889566,46.91,54.17,59.02,67.3,71.11304576,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.04539718,0.882807327,1.288582302,2.091516391,4.076740564,5.963835303,,5.684251214,,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7,41.59,44.57574032,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,6.838163465,16.20246602,24.18925674,32.10375935,39.94758876,42.94986002,47.5096999,52.03159737,56.52201218,60.99086701,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8,98.32360965,98.0,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.066807568,0.196081174,0.447839036,0.6264840620000001,0.981815187,1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30.0,35.34,36.99,34.6,35.56227065,39.6975146,
