"year","country","value"
1993,"ATG",0
1994,"ATG",0
1995,"ATG",2.200768802
1996,"ATG",2.858449577
1997,"ATG",3.480536838
1998,"ATG",4.0717165
1999,"ATG",5.300681138
2000,"ATG",6.482225737
2001,"ATG",8.899285515
2002,"ATG",12.5
2003,"ATG",17.22864878
2004,"ATG",24.26654372
2005,"ATG",27.0
2006,"ATG",30.0
2007,"ATG",34.0
2008,"ATG",38.0
2009,"ATG",42.0
2010,"ATG",47.0
2011,"ATG",52.0
2012,"ATG",58.0
2013,"ATG",63.4
2014,"ATG",67.78
2015,"ATG",70.0
2016,"ATG",73.0
1990,"AUS",0.5850947120000001
1991,"AUS",1.097203891
1992,"AUS",1.768764913
1993,"AUS",1.9746110159999999
1994,"AUS",2.2321012540000003
1995,"AUS",2.759654513
1996,"AUS",3.27524987
1997,"AUS",16.36935838
1998,"AUS",30.81323944
1999,"AUS",40.783783899999996
2000,"AUS",46.75611561
2001,"AUS",52.68926643
2002,"AUS",0
2003,"AUS",0
2004,"AUS",0
2005,"AUS",63.0
2006,"AUS",66.0
2007,"AUS",69.45
2008,"AUS",71.67
2009,"AUS",74.25
2010,"AUS",76.0
2011,"AUS",79.48769771
2012,"AUS",79.0
2013,"AUS",83.45349717
2014,"AUS",84.0
2015,"AUS",84.56051935
2016,"AUS",88.23865805
1990,"AUT",0.13036937699999998
1991,"AUT",0.259081553
1992,"AUT",0.642817619
1993,"AUT",0.76534273
1994,"AUT",1.393422968
1995,"AUT",1.890210524
1996,"AUT",6.909162352999999
1997,"AUT",9.533974317
1998,"AUT",15.42121932
1999,"AUT",23.0443171
2000,"AUT",33.73013295
2001,"AUT",39.18545018
2002,"AUT",36.56
2003,"AUT",42.7
2004,"AUT",54.28
2005,"AUT",58.0
2006,"AUT",63.6
2007,"AUT",69.37
2008,"AUT",72.87
2009,"AUT",73.45
2010,"AUT",75.17
2011,"AUT",78.73999309999999
2012,"AUT",80.02999392
2013,"AUT",80.6188
2014,"AUT",80.99582496
2015,"AUT",83.94014193
2016,"AUT",84.32333129
1990,"AZE",0.0
1991,"AZE",0
1992,"AZE",0
1993,"AZE",0
1994,"AZE",0.001431415
1995,"AZE",0.002055556
1996,"AZE",0.006354585
1997,"AZE",0.025187933
1998,"AZE",0.037485108999999996
1999,"AZE",0.09922894199999999
2000,"AZE",0.147757576
2001,"AZE",0.305564638
2002,"AZE",4.999713678
2003,"AZE",0
2004,"AZE",0
2005,"AZE",8.030375356
2006,"AZE",11.99217733
2007,"AZE",14.54
2008,"AZE",17.08
2009,"AZE",27.4
2010,"AZE",46.0
2011,"AZE",50.0
2012,"AZE",54.2
2013,"AZE",73.00000137
2014,"AZE",75.00001564
2015,"AZE",77.0
2016,"AZE",78.2
1960,"BDI",0.0
1961,"BDI",0
1962,"BDI",0
1963,"BDI",0
1964,"BDI",0
1965,"BDI",0.0
1966,"BDI",0
1967,"BDI",0
1968,"BDI",0
1969,"BDI",0
1970,"BDI",0.0
1971,"BDI",0
1972,"BDI",0
1973,"BDI",0
1974,"BDI",0
1975,"BDI",0.0
1976,"BDI",0.0
1977,"BDI",0.0
1978,"BDI",0.0
1979,"BDI",0.0
1980,"BDI",0.0
1981,"BDI",0.0
1982,"BDI",0.0
1983,"BDI",0.0
1984,"BDI",0.0
1985,"BDI",0.0
1986,"BDI",0.0
1987,"BDI",0.0
1988,"BDI",0.0
1989,"BDI",0.0
1990,"BDI",0.0
1991,"BDI",0.0
1992,"BDI",0.0
1993,"BDI",0.0
1994,"BDI",0.0
1995,"BDI",0.0
1996,"BDI",0.000803592
1997,"BDI",0.007979439
1998,"BDI",0.015842776
1999,"BDI",0.039204469
2000,"BDI",0.077248447
2001,"BDI",0.106001245
2002,"BDI",0.11822841199999999
2003,"BDI",0.201273197
2004,"BDI",0.349060462
2005,"BDI",0.5421428660000001
2006,"BDI",0.65759259
2007,"BDI",0.7
2008,"BDI",0.81
2009,"BDI",0.9
2010,"BDI",1.0
2011,"BDI",1.11
2012,"BDI",1.219999945
2013,"BDI",1.264218111
2014,"BDI",1.38
2015,"BDI",4.866224464
2016,"BDI",5.173626777
1990,"BEL",0.00100674
1991,"BEL",0.020072645
1992,"BEL",0.10004102699999999
1993,"BEL",0.19944605899999998
1994,"BEL",0.69599469
1995,"BEL",0.99166299
1996,"BEL",2.968411647
1997,"BEL",4.93808091
1998,"BEL",7.886622701
1999,"BEL",13.77221446
2000,"BEL",29.43169169
2001,"BEL",31.28839551
2002,"BEL",46.33
2003,"BEL",49.97
2004,"BEL",53.86
2005,"BEL",55.82
2006,"BEL",59.72
2007,"BEL",64.44
2008,"BEL",66.0
2009,"BEL",70.0
2010,"BEL",75.0
2011,"BEL",81.609996
2012,"BEL",80.71999055
2013,"BEL",82.1702
2014,"BEL",85.0
2015,"BEL",85.0529
2016,"BEL",86.5165
1990,"BEN",0.0
1991,"BEN",0
1992,"BEN",0
1993,"BEN",0
1994,"BEN",0
1995,"BEN",0
1996,"BEN",0.0016930999999999997
1997,"BEN",0.024648796
1998,"BEN",0.047877304
1999,"BEN",0.154906741
2000,"BEN",0.22524785100000003
2001,"BEN",0.36341789
2002,"BEN",0.702945595
2003,"BEN",0.951327115
2004,"BEN",1.182540965
2005,"BEN",1.2710314390000002
2006,"BEN",1.537854346
2007,"BEN",1.79
