"year","country","value"
2001,"ARE",3.31299996376038
2002,"ARE",3.3499999046325697
2003,"ARE",2.7960000038147004
2004,"ARE",3.20499992370605
2005,"ARE",3.0999999046325697
2006,"ARE",3.15700006484985
2007,"ARE",3.1840000152587904
2008,"ARE",4.0
2009,"ARE",4.19999980926514
2010,"ARE",4.1710000038147
2011,"ARE",4.12799978256226
2012,"ARE",4.08099985122681
2013,"ARE",4.019999980926509
2014,"ARE",3.9660000801086404
2015,"ARE",3.8050000667572004
2016,"ARE",3.6909999847412096
1991,"ARG",5.800000190734861
1992,"ARG",6.699999809265139
1993,"ARG",10.1000003814697
1994,"ARG",12.1000003814697
1995,"ARG",18.7999992370605
1996,"ARG",17.2000007629395
1997,"ARG",14.8999996185303
1998,"ARG",12.8000001907349
1999,"ARG",14.1000003814697
2000,"ARG",15.020000457763699
2001,"ARG",17.3999996185303
2002,"ARG",19.6000003814697
2003,"ARG",16.0300006866455
2004,"ARG",13.522000312805199
2005,"ARG",11.5059995651245
2006,"ARG",9.44999980926514
2007,"ARG",8.41499996185303
2008,"ARG",7.83699989318848
2009,"ARG",8.64500045776367
2010,"ARG",7.71400022506714
2011,"ARG",7.17899990081787
2012,"ARG",7.21700000762939
2013,"ARG",7.099999904632571
2014,"ARG",7.26800012588501
2015,"ARG",6.622000217437741
2016,"ARG",6.55700016021729
1991,"ARM",18.9869995117188
1992,"ARM",18.054000854492198
1993,"ARM",18.628000259399396
1994,"ARM",17.7950000762939
1995,"ARM",17.9589996337891
1996,"ARM",18.1660003662109
1997,"ARM",16.7329998016357
1998,"ARM",17.340999603271502
1999,"ARM",16.8939990997314
2000,"ARM",18.0160007476807
2001,"ARM",17.938999176025398
2002,"ARM",17.8120002746582
2003,"ARM",17.6509990692139
2004,"ARM",17.468999862670902
2005,"ARM",17.2329998016357
2006,"ARM",16.9669990539551
2007,"ARM",16.6660003662109
2008,"ARM",16.3999996185303
2009,"ARM",18.7000007629395
2010,"ARM",19.0
2011,"ARM",18.3999996185303
2012,"ARM",17.2999992370605
2013,"ARM",16.2000007629395
2014,"ARM",17.6000003814697
2015,"ARM",17.034000396728498
2016,"ARM",16.7590007781982
1991,"AUS",9.579000473022461
1992,"AUS",10.7290000915527
1993,"AUS",10.873999595642099
1994,"AUS",9.7189998626709
1995,"AUS",8.4689998626709
1996,"AUS",8.50599956512451
1997,"AUS",8.36200046539307
1998,"AUS",7.67600011825562
1999,"AUS",6.872000217437741
2000,"AUS",6.28299999237061
2001,"AUS",6.74200010299683
2002,"AUS",6.368000030517581
2003,"AUS",5.92899990081787
2004,"AUS",5.39499998092651
2005,"AUS",5.03299999237061
2006,"AUS",4.782000064849849
2007,"AUS",4.3769998550414995
2008,"AUS",4.23400020599365
2009,"AUS",5.56099987030029
2010,"AUS",5.21099996566772
2011,"AUS",5.080999851226809
2012,"AUS",5.22100019454956
2013,"AUS",5.656000137329099
2014,"AUS",6.07399988174438
2015,"AUS",6.05999994277954
2016,"AUS",5.73799991607666
1991,"AUT",3.4000000953674303
1992,"AUT",3.5999999046325697
1993,"AUT",4.30000019073486
1994,"AUT",3.53500008583069
1995,"AUT",4.34700012207031
1996,"AUT",5.2810001373291
1997,"AUT",5.14900016784668
1998,"AUT",5.5229997634887695
1999,"AUT",4.69799995422363
2000,"AUT",4.6869997978210405
2001,"AUT",4.00699996948242
2002,"AUT",4.848999977111821
2003,"AUT",4.77799987792969
2004,"AUT",5.83400011062622
