release_date;title;Year;Month;Day
1990-04-27;Spaced Invaders                                               ; 1990; 4; 27
1988-07-08;Phantasm II                                                   ; 1988; 7; 8
1993-05-01;Warlock: The Armageddon                                       ; 1993; 5; 1
1998-05-17;Creature                                                      ; 1998; 5; 17
2011-03-13;The Divide                                                    ; 2011; 3; 13
1974-12-15;Young Frankenstein                                            ; 1974; 12; 15
2007-09-08;Diary of the Dead                                             ; 2007; 9; 8
2008-09-26;Journey to Saturn                                             ; 2008; 9; 26
2007-09-20;Timecrimes                                                    ; 2007; 9; 20
1982-10-22;Halloween III: Season of the Witch                            ; 1982; 10; 22
1971-05-20;Escape from the Planet of the Apes                            ; 1971; 5; 20
2012-08-16;Robot & Frank                                                 ; 2012; 8; 16
2008-12-10;Sleep Dealer                                                  ; 2008; 12; 10
2006-09-01;Idiocracy                                                     ; 2006; 9; 1
2012-12-14;U.F.O.                                                        ; 2012; 12; 14
2015-07-09;Containment                                                   ; 2015; 7; 9
1973-12-17;Sleeper                                                       ; 1973; 12; 17
1981-12-24;Mad Max 2: The Road Warrior                                   ; 1981; 12; 24
1998-09-18;Six-String Samurai                                            ; 1998; 9; 18
1993-10-01;Return of the Living Dead 3                                   ; 1993; 10; 1
2015-10-02;Circle                                                        ; 2015; 10; 2
2015-03-20;The Walking Deceased                                          ; 2015; 3; 20
2003-01-01;Northfork                                                     ; 2003; 1; 1
1973-06-15;Battle for the Planet of the Apes                             ; 1973; 6; 15
2013-06-27;Independence Daysaster                                        ; 2013; 6; 27
1972-06-29;Conquest of the Planet of the Apes                            ; 1972; 6; 29
1984-02-20;Repo Man                                                      ; 1984; 2; 20
2009-03-06;Pontypool                                                     ; 2009; 3; 6
2005-10-01;Fetching Cody                                                 ; 2005; 10; 1
2014-09-27;Mutant World                                                  ; 2014; 9; 27
1966-07-30;Batman                                                        ; 1966; 7; 30
1985-03-15;Def-Con 4                                                     ; 1985; 3; 15
1984-08-31;C.H.U.D.                                                      ; 1984; 8; 31
2010-12-03;Beyond the Black Rainbow                                      ; 2010; 12; 3
2010-05-13;The Dead Undead                                               ; 2010; 5; 13
1972-03-09;Silent Running                                                ; 1972; 3; 9
1999-12-11;Godzilla 2000                                                 ; 1999; 12; 11
2014-07-18;I Origins                                                     ; 2014; 7; 18
2016-03-11;Creative Control                                              ; 2016; 3; 11
2006-01-30;Special                                                       ; 2006; 1; 30
2005-01-01;The Helix... Loaded                                           ; 2005; 1; 1
2014-09-08;Bang Bang Baby                                                ; 2014; 9; 8
2013-07-25;Zombie Hunter                                                 ; 2013; 7; 25
1968-09-23;Charly                                                        ; 1968; 9; 23
2002-10-25;Time Changer                                                  ; 2002; 10; 25
2015-12-11;American Hero                                                 ; 2015; 12; 11
2012-10-28;Vessel                                                        ; 2012; 10; 28
2012-06-08;Safety Not Guaranteed                                         ; 2012; 6; 8
1997-09-11;Hav Plenty                                                    ; 1997; 9; 11
1977-08-24;Kingdom of the Spiders                                        ; 1977; 8; 24
2010-06-18;Monsters                                                      ; 2010; 6; 18
2011-10-22;Enter Nowhere                                                 ; 2011; 10; 22
1984-05-01;The Toxic Avenger                                             ; 1984; 5; 1
2005-03-11;The Dark Hours                                                ; 2005; 3; 11
2015-10-20;Rotor DR1                                                     ; 2015; 10; 20
1975-04-27;Death Race 2000                                               ; 1975; 4; 27
1997-09-09;Cube                                                          ; 1997; 9; 9
1997-06-06;The Sticky Fingers of Time                                    ; 1997; 6; 6
1953-06-13;The Beast from 20,000 Fathoms                                 ; 1953; 6; 13
1979-04-12;Mad Max                                                       ; 1979; 4; 12
2007-06-10;The Man from Earth                                            ; 2007; 6; 10
2008-01-01;Yesterday Was a Lie                                           ; 2008; 1; 1
2014-08-28;H.                                                            ; 2014; 8; 28
2011-07-22;Another Earth                                                 ; 2011; 7; 22
2011-01-22;Sound of My Voice                                             ; 2011; 1; 22
1977-03-19;Eraserhead                                                    ; 1977; 3; 19
2001-09-12;The Lost Skeleton of Cadavra                                  ; 2001; 9; 12
2013-11-08;Echo Dr.                                                      ; 2013; 11; 8
2015-09-29;Queen Crab                                                    ; 2015; 9; 29
1962-02-25;The Brain That Wouldn't Die                                   ; 1962; 2; 25
2014-03-15;The Signal                                                    ; 2014; 3; 15
2014-04-05;Dawn of the Crescent Moon                                     ; 2014; 4; 5
2011-10-26;All Superheroes Must Die                                      ; 2011; 10; 26
2004-10-08;Primer                                                        ; 2004; 10; 8
