release_date;title;Year;Month;Day
2011-08-03;Rise of the Planet of the Apes                                ; 2011; 8; 3
1997-07-02;Men in Black                                                  ; 1997; 7; 2
2001-06-02;Atlantis: The Lost Empire                                     ; 2001; 6; 2
2015-07-16;Pixels                                                        ; 2015; 7; 16
2001-06-29;A.I. Artificial Intelligence                                  ; 2001; 6; 29
1997-07-11;Contact                                                       ; 1997; 7; 11
2000-08-04;Hollow Man                                                    ; 2000; 8; 4
1997-04-03;The Saint                                                     ; 1997; 4; 3
2000-03-10;Mission to Mars                                               ; 2000; 3; 10
1999-12-17;Bicentennial Man                                              ; 1999; 12; 17
1997-04-25;Volcano                                                       ; 1997; 4; 25
2014-03-14;Divergent                                                     ; 2014; 3; 14
2012-03-15;Mirror Mirror                                                 ; 2012; 3; 15
2003-03-28;The Core                                                      ; 2003; 3; 28
2000-07-27;Nutty Professor II: The Klumps                                ; 2000; 7; 27
2012-09-07;Dredd                                                         ; 2012; 9; 7
2008-02-10;Jumper                                                        ; 2008; 2; 10
2008-07-11;Hellboy II: The Golden Army                                   ; 2008; 7; 11
2000-11-17;The 6th Day                                                   ; 2000; 11; 17
2012-03-12;The Hunger Games                                              ; 2012; 3; 12
2005-03-10;Robots                                                        ; 2005; 3; 10
1997-06-27;Face/Off                                                      ; 1997; 6; 27
2010-01-14;The Book of Eli                                               ; 2010; 1; 14
1997-11-26;Flubber                                                       ; 1997; 11; 26
2008-12-10;The Day the Earth Stood Still                                 ; 2008; 12; 10
1998-04-03;Lost in Space                                                 ; 1998; 4; 3
2002-03-04;The Time Machine                                              ; 2002; 3; 4
1996-12-12;Mars Attacks!                                                 ; 1996; 12; 12
2009-09-24;Surrogates                                                    ; 2009; 9; 24
2000-05-10;Battlefield Earth                                             ; 2000; 5; 10
2003-11-26;Timeline                                                      ; 2003; 11; 26
2000-11-10;Red Planet                                                    ; 2000; 11; 10
2005-05-15;A Sound of Thunder                                            ; 2005; 5; 15
2012-01-19;Journey 2: The Mysterious Island                              ; 2012; 1; 19
2007-08-17;The Invasion                                                  ; 2007; 8; 17
2003-07-11;The League of Extraordinary Gentlemen                         ; 2003; 7; 11
1996-06-25;Independence Day                                              ; 1996; 6; 25
1997-05-23;The Lost World: Jurassic Park                                 ; 1997; 5; 23
2006-09-22;Children of Men                                               ; 2006; 9; 22
2000-07-13;X-Men                                                         ; 2000; 7; 13
2000-06-16;Titan A.E.                                                    ; 2000; 6; 16
1998-10-23;Soldier                                                       ; 1998; 10; 23
2009-09-04;Carriers                                                      ; 2009; 9; 4
